country,year,month,pathogen,positive.ages.0.23,positive.ages.24.59
The Gambia,2010,1,Norovirus GI,0,0
The Gambia,2010,2,Norovirus GI,0,0
The Gambia,2010,3,Norovirus GI,0,0
The Gambia,2010,4,Norovirus GI,0,0
The Gambia,2010,5,Norovirus GI,1.333333,0
The Gambia,2010,6,Norovirus GI,1.5,4
The Gambia,2010,7,Norovirus GI,3.535714,0
The Gambia,2010,8,Norovirus GI,2.375,0
The Gambia,2010,9,Norovirus GI,0,0
The Gambia,2010,10,Norovirus GI,0,0
The Gambia,2010,11,Norovirus GI,0,0
The Gambia,2010,12,Norovirus GI,0,0
The Gambia,2007,12,Norovirus GII,19.17405,0
The Gambia,2008,1,Norovirus GII,7.402797,1.25
The Gambia,2008,2,Norovirus GII,2.833333,0
The Gambia,2008,3,Norovirus GII,3.125,11
The Gambia,2008,4,Norovirus GII,4,0
The Gambia,2008,5,Norovirus GII,1.6,0
The Gambia,2008,6,Norovirus GII,11.95055,2
The Gambia,2008,7,Norovirus GII,9.329004,0
The Gambia,2008,8,Norovirus GII,15.16667,1.75
The Gambia,2008,9,Norovirus GII,8.938095,5
The Gambia,2008,10,Norovirus GII,2.619048,2.571429
The Gambia,2008,11,Norovirus GII,5,2
The Gambia,2008,12,Norovirus GII,23.28571,3
The Gambia,2009,1,Norovirus GII,12.36786,1
The Gambia,2009,2,Norovirus GII,3.25,0
The Gambia,2009,3,Norovirus GII,0,0
The Gambia,2009,4,Norovirus GII,3.905769,1
The Gambia,2009,5,Norovirus GII,1.25,0
The Gambia,2009,6,Norovirus GII,3.833333,0
The Gambia,2009,7,Norovirus GII,0,0
The Gambia,2009,8,Norovirus GII,1.5,0
The Gambia,2009,9,Norovirus GII,0,0
The Gambia,2009,10,Norovirus GII,3.314286,0
The Gambia,2009,11,Norovirus GII,1.285714,0
The Gambia,2009,12,Norovirus GII,2.666667,0
The Gambia,2010,1,Norovirus GII,0,0
The Gambia,2010,2,Norovirus GII,0,0
The Gambia,2010,3,Norovirus GII,0,0
The Gambia,2010,4,Norovirus GII,0,0
The Gambia,2010,5,Norovirus GII,9,1
The Gambia,2010,6,Norovirus GII,7.111111,2
The Gambia,2010,7,Norovirus GII,5.85,1.5
The Gambia,2010,8,Norovirus GII,7.125,1
The Gambia,2010,9,Norovirus GII,2,3
The Gambia,2010,10,Norovirus GII,3,0
The Gambia,2010,11,Norovirus GII,0,0
The Gambia,2010,12,Norovirus GII,3.166667,1
The Gambia,2007,12,Adenovirus 40/41,0,0
The Gambia,2008,1,Adenovirus 40/41,0,0
The Gambia,2008,2,Adenovirus 40/41,0,0
The Gambia,2008,3,Adenovirus 40/41,0,0
The Gambia,2008,4,Adenovirus 40/41,4,0
The Gambia,2008,5,Adenovirus 40/41,0,0
The Gambia,2008,6,Adenovirus 40/41,9.758242,0
The Gambia,2008,7,Adenovirus 40/41,3.666667,0
The Gambia,2008,8,Adenovirus 40/41,0,0
The Gambia,2008,9,Adenovirus 40/41,0,0
The Gambia,2008,10,Adenovirus 40/41,0,0
The Gambia,2008,11,Adenovirus 40/41,0,0
The Gambia,2008,12,Adenovirus 40/41,1.428571,0
The Gambia,2009,1,Adenovirus 40/41,0,0
The Gambia,2009,2,Adenovirus 40/41,0,0
The Gambia,2009,3,Adenovirus 40/41,0,0
